date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:46	679/679	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Oct%202023%2002:07:43%20GMT	https://recargaja.net/robots.txt		(from )
23:08:26	3860/3860	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Oct%202023%2002:08:25%20GMT	https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE	C:/Meus%20Sites/RECARGA/recargaja.net/index4a75.html	(from )
23:08:27	14871/14871	---MCZ	200	added ('OK')	text/css	etag:W/%228d1b983ef3fd91:0%22	https://recargaja.net/static/css/index.css?21125	C:/Meus%20Sites/RECARGA/recargaja.net/static/css/index4ed7.css	(from https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE)
23:08:27	141295/141295	---M--	200	added ('OK')	text/css	etag:W/%22fd6826a57ce3e61f8ebce9c06c7d692e%22	https://code.getmdl.io/1.3.0/material.indigo-pink.min.css	C:/Meus%20Sites/RECARGA/code.getmdl.io/1.3.0/material.indigo-pink.min.css	(from https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE)
23:08:27	1304/1304	---MCZ	200	added ('OK')	text/css	etag:W/%220e6298594d5d61:0%22	https://recargaja.net/static/css/loadingSpinner.css	C:/Meus%20Sites/RECARGA/recargaja.net/static/css/loadingSpinner.css	(from https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE)
23:08:28	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Meus%20Sites/RECARGA/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE)
23:08:28	6605/6605	---MCZ	200	added ('OK')	application/javascript	etag:W/%2209476b294d5d61:0%22	https://recargaja.net/static/js/jquery.maskedinput.js	C:/Meus%20Sites/RECARGA/recargaja.net/static/js/jquery.maskedinput.js	(from https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE)
23:08:29	43843/43843	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f48911f734da1:0%22	https://recargaja.net/static/js/index.js?2444	C:/Meus%20Sites/RECARGA/recargaja.net/static/js/index7fd8.js	(from https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE)
23:08:29	62491/62491	---M--	200	added ('OK')	application/javascript	etag:W/%2261f516d4a1b479b23761090038965bb0%22	https://code.getmdl.io/1.3.0/material.min.js	C:/Meus%20Sites/RECARGA/code.getmdl.io/1.3.0/material.min.js	(from https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE)
23:08:29	647/647	---M--	200	added ('OK')	image/png	etag:%220f7c7894d5d61:0%22	https://recargaja.net/static/imgs/indexSafe.png	C:/Meus%20Sites/RECARGA/recargaja.net/static/imgs/indexSafe.png	(from https://recargaja.net/?gclid=CjwKCAjw7c2pBhAZEiwA88pOF-rwDhMreiLEvLFP0LVNgkNIusoYhMIU3faAiGoL_OpZiQyYXgw3fBoCeVMQAvD_BwE)
